NGPLIV 20250509-154057_A2_3.txt			
V [V]	J [mA/cm2]	I [mA]	P [J/cm2]
2.000000E+0	-6.697150E-1	-1.339430E-1	-1.339430E-3
1.978788E+0	-5.367815E-1	-1.073563E-1	-1.062177E-3
1.957576E+0	-5.577260E-1	-1.115452E-1	-1.091791E-3
1.936364E+0	-4.716166E-1	-9.432332E-2	-9.132212E-4
1.915152E+0	-4.732668E-1	-9.465336E-2	-9.063776E-4
1.893939E+0	-4.110730E-1	-8.221461E-2	-7.785474E-4
1.872727E+0	-4.207745E-1	-8.415490E-2	-7.879959E-4
1.851515E+0	-4.122577E-1	-8.245155E-2	-7.633015E-4
1.830303E+0	-3.671301E-1	-7.342602E-2	-6.719593E-4
1.809091E+0	-3.575246E-1	-7.150492E-2	-6.467945E-4
1.787879E+0	-3.486025E-1	-6.972050E-2	-6.232590E-4
1.766667E+0	-3.324133E-1	-6.648267E-2	-5.872636E-4
1.745455E+0	-3.138702E-1	-6.277404E-2	-5.478462E-4
1.724242E+0	-3.033090E-1	-6.066180E-2	-5.229782E-4
1.703030E+0	-2.871458E-1	-5.742917E-2	-4.890181E-4
1.681818E+0	-2.678566E-1	-5.357132E-2	-4.504861E-4
1.660606E+0	-2.600627E-1	-5.201253E-2	-4.318616E-4
1.639394E+0	-2.482914E-1	-4.965827E-2	-4.070473E-4
1.618182E+0	-2.406277E-1	-4.812554E-2	-3.893794E-4
1.596970E+0	-2.301610E-1	-4.603221E-2	-3.675602E-4
1.575758E+0	-2.222950E-1	-4.445901E-2	-3.502831E-4
1.554545E+0	-2.136046E-1	-4.272092E-2	-3.320581E-4
1.533333E+0	-2.026202E-1	-4.052405E-2	-3.106844E-4
1.512121E+0	-1.939597E-1	-3.879193E-2	-2.932905E-4
1.490909E+0	-1.863802E-1	-3.727605E-2	-2.778760E-4
1.469697E+0	-1.804291E-1	-3.608583E-2	-2.651762E-4
1.448485E+0	-1.733095E-1	-3.466189E-2	-2.510361E-4
1.427273E+0	-1.662743E-1	-3.325487E-2	-2.373188E-4
1.406061E+0	-1.601593E-1	-3.203185E-2	-2.251936E-4
1.384848E+0	-1.508291E-1	-3.016582E-2	-2.088755E-4
1.363636E+0	-1.466601E-1	-2.933202E-2	-1.999910E-4
1.342424E+0	-1.392762E-1	-2.785524E-2	-1.869677E-4
1.321212E+0	-1.302038E-1	-2.604076E-2	-1.720268E-4
1.300000E+0	-1.242524E-1	-2.485048E-2	-1.615281E-4
1.278788E+0	-1.187738E-1	-2.375477E-2	-1.518866E-4
1.257576E+0	-1.140381E-1	-2.280762E-2	-1.434115E-4
1.236364E+0	-1.085530E-1	-2.171060E-2	-1.342110E-4
1.215152E+0	-1.034253E-1	-2.068506E-2	-1.256774E-4
1.193939E+0	-9.899110E-2	-1.979822E-2	-1.181894E-4
1.172727E+0	-9.499735E-2	-1.899947E-2	-1.114060E-4
1.151515E+0	-9.050095E-2	-1.810019E-2	-1.042132E-4
1.130303E+0	-8.584145E-2	-1.716829E-2	-9.702685E-5
1.109091E+0	-8.231735E-2	-1.646347E-2	-9.129742E-5
1.087879E+0	-7.798895E-2	-1.559779E-2	-8.484252E-5
1.066667E+0	-7.275355E-2	-1.455071E-2	-7.760379E-5
1.045455E+0	-6.936855E-2	-1.387371E-2	-7.252167E-5
1.024242E+0	-6.554565E-2	-1.310913E-2	-6.713464E-5
1.003030E+0	-6.250855E-2	-1.250171E-2	-6.269797E-5
9.818182E-1	-5.947620E-2	-1.189524E-2	-5.839481E-5
9.606061E-1	-5.591205E-2	-1.118241E-2	-5.370945E-5
9.393939E-1	-5.239495E-2	-1.047899E-2	-4.921950E-5
9.181818E-1	-4.931426E-2	-9.862853E-3	-4.527946E-5
8.969697E-1	-4.733887E-2	-9.467774E-3	-4.246153E-5
8.757576E-1	-4.444015E-2	-8.888029E-3	-3.891879E-5
8.545455E-1	-4.193498E-2	-8.386996E-3	-3.583535E-5
8.333333E-1	-3.890975E-2	-7.781951E-3	-3.242480E-5
8.121212E-1	-3.714058E-2	-7.428117E-3	-3.016266E-5
7.909091E-1	-3.493962E-2	-6.987923E-3	-2.763406E-5
7.696970E-1	-3.176895E-2	-6.353790E-3	-2.445246E-5
7.484848E-1	-3.023833E-2	-6.047666E-3	-2.263293E-5
7.272727E-1	-2.841004E-2	-5.682009E-3	-2.066185E-5
7.060606E-1	-2.647719E-2	-5.295439E-3	-1.869450E-5
6.848485E-1	-2.475189E-2	-4.950378E-3	-1.695129E-5
6.636364E-1	-2.314465E-2	-4.628930E-3	-1.535963E-5
6.424242E-1	-2.141302E-2	-4.282603E-3	-1.375624E-5
6.212121E-1	-2.001655E-2	-4.003309E-3	-1.243452E-5
6.000000E-1	-1.881369E-2	-3.762739E-3	-1.128822E-5
5.787879E-1	-1.771839E-2	-3.543679E-3	-1.025519E-5
5.575758E-1	-1.643920E-2	-3.287839E-3	-9.166097E-6
5.363636E-1	-1.489708E-2	-2.979416E-3	-7.990252E-6
5.151515E-1	-1.355303E-2	-2.710607E-3	-6.981867E-6
4.939394E-1	-1.200391E-2	-2.400781E-3	-5.929202E-6
4.727273E-1	-1.115859E-2	-2.231718E-3	-5.274970E-6
4.515152E-1	-1.034891E-2	-2.069783E-3	-4.672692E-6
4.303030E-1	-9.206675E-3	-1.841335E-3	-3.961660E-6
4.090909E-1	-8.365700E-3	-1.673140E-3	-3.422332E-6
3.878788E-1	-7.958830E-3	-1.591766E-3	-3.087061E-6
3.666667E-1	-7.110890E-3	-1.422178E-3	-2.607326E-6
3.454545E-1	-6.418320E-3	-1.283664E-3	-2.217238E-6
3.242424E-1	-5.782100E-3	-1.156420E-3	-1.874802E-6
3.030303E-1	-5.031960E-3	-1.006392E-3	-1.524836E-6
2.818182E-1	-4.503305E-3	-9.006611E-4	-1.269113E-6
2.606061E-1	-3.906561E-3	-7.813122E-4	-1.018073E-6
2.393939E-1	-3.459721E-3	-6.919443E-4	-8.282364E-7
